Domaine,Zone,Élément,Produit,Année,Valeur
"Cultures et produits animaux","Mauritanie","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Mexique","Exportations - Quantité","Viande de Volailles","2013","9842"
"Cultures et produits animaux","Mongolie","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Monténégro","Exportations - Quantité","Viande de Volailles","2013","37"
"Cultures et produits animaux","Mozambique","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Namibie","Exportations - Quantité","Viande de Volailles","2013","2227"
"Cultures et produits animaux","Népal","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Nicaragua","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Niger","Exportations - Quantité","Viande de Volailles","2013",""
"Cultures et produits animaux","Norvège","Exportations - Quantité","Viande de Volailles","2013","163"
"Cultures et produits animaux","Nouvelle-Calédonie","Exportations - Quantité","Viande de Volailles","2013","1"
"Cultures et produits animaux","Nouvelle-Zélande","Exportations - Quantité","Viande de Volailles","2013","13281"
"Cultures et produits animaux","Oman","Exportations - Quantité","Viande de Volailles","2013","9632"
"Cultures et produits animaux","Ouganda","Exportations - Quantité","Viande de Volailles","2013","45"
"Cultures et produits animaux","Ouzbékistan","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Pakistan","Exportations - Quantité","Viande de Volailles","2013","2668"
"Cultures et produits animaux","Panama","Exportations - Quantité","Viande de Volailles","2013","2456"
"Cultures et produits animaux","Papouasie-Nouvelle-Guinée","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Paraguay","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Pays-Bas","Exportations - Quantité","Viande de Volailles","2013","1179144"
"Cultures et produits animaux","Pérou","Exportations - Quantité","Viande de Volailles","2013","2751"
"Cultures et produits animaux","Philippines","Exportations - Quantité","Viande de Volailles","2013","7183"
"Cultures et produits animaux","Pologne","Exportations - Quantité","Viande de Volailles","2013","641002"
"Cultures et produits animaux","Polynésie française","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Portugal","Exportations - Quantité","Viande de Volailles","2013","18545"
"Cultures et produits animaux","Qatar","Exportations - Quantité","Viande de Volailles","2013","221"
"Cultures et produits animaux","République arabe syrienne","Exportations - Quantité","Viande de Volailles","2013","4145"
"Cultures et produits animaux","République centrafricaine","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","République de Corée","Exportations - Quantité","Viande de Volailles","2013","33621"
"Cultures et produits animaux","République de Moldova","Exportations - Quantité","Viande de Volailles","2013","20"
"Cultures et produits animaux","République démocratique du Congo","Exportations - Quantité","Viande de Volailles","2013","26"
"Cultures et produits animaux","République dominicaine","Exportations - Quantité","Viande de Volailles","2013","9086"
"Cultures et produits animaux","République-Unie de Tanzanie","Exportations - Quantité","Viande de Volailles","2013","1"
"Cultures et produits animaux","Roumanie","Exportations - Quantité","Viande de Volailles","2013","82529"
"Cultures et produits animaux","Royaume-Uni","Exportations - Quantité","Viande de Volailles","2013","384379"
"Cultures et produits animaux","Sainte-Lucie","Exportations - Quantité","Viande de Volailles","2013","1"
"Cultures et produits animaux","Saint-Kitts-et-Nevis","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Saint-Vincent-et-les Grenadines","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Samoa","Exportations - Quantité","Viande de Volailles","2013","22"
"Cultures et produits animaux","Sénégal","Exportations - Quantité","Viande de Volailles","2013","197"
"Cultures et produits animaux","Serbie","Exportations - Quantité","Viande de Volailles","2013","4195"
"Cultures et produits animaux","Seychelles","Exportations - Quantité","Viande de Volailles","2013","54"
"Cultures et produits animaux","Singapour","Exportations - Quantité","Viande de Volailles","2013","12068"
"Cultures et produits animaux","Slovaquie","Exportations - Quantité","Viande de Volailles","2013","39727"
"Cultures et produits animaux","Slovénie","Exportations - Quantité","Viande de Volailles","2013","26655"
"Cultures et produits animaux","Soudan","Exportations - Quantité","Viande de Volailles","2013","112"
"Cultures et produits animaux","Sri Lanka","Exportations - Quantité","Viande de Volailles","2013","1525"
"Cultures et produits animaux","Suède","Exportations - Quantité","Viande de Volailles","2013","18341"
"Cultures et produits animaux","Suisse","Exportations - Quantité","Viande de Volailles","2013","3894"
"Cultures et produits animaux","Suriname","Exportations - Quantité","Viande de Volailles","2013","328"
"Cultures et produits animaux","Tchad","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Tchéquie (la)","Exportations - Quantité","Viande de Volailles","2013","38387"
"Cultures et produits animaux","Territoire palestinien occupé","Exportations - Quantité","Viande de Volailles","2013","9066"
"Cultures et produits animaux","Thaïlande","Exportations - Quantité","Viande de Volailles","2013","733683"
"Cultures et produits animaux","Togo","Exportations - Quantité","Viande de Volailles","2013","31"
"Cultures et produits animaux","Tonga","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Trinité-et-Tobago","Exportations - Quantité","Viande de Volailles","2013","747"
"Cultures et produits animaux","Tunisie","Exportations - Quantité","Viande de Volailles","2013","1883"
"Cultures et produits animaux","Turquie","Exportations - Quantité","Viande de Volailles","2013","372684"
"Cultures et produits animaux","Ukraine","Exportations - Quantité","Viande de Volailles","2013","145675"
"Cultures et produits animaux","Uruguay","Exportations - Quantité","Viande de Volailles","2013","13115"
"Cultures et produits animaux","Vanuatu","Exportations - Quantité","Viande de Volailles","2013","14"
"Cultures et produits animaux","Venezuela (République bolivarienne du)","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Viet Nam","Exportations - Quantité","Viande de Volailles","2013","72"
"Cultures et produits animaux","Yémen","Exportations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Zambie","Exportations - Quantité","Viande de Volailles","2013","16"
"Cultures et produits animaux","Zimbabwe","Exportations - Quantité","Viande de Volailles","2013","0"
