Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Guinée-Bissau","Population totale","Population","2008","1517"
"Bilans Alimentaires","Guinée-Bissau","Population totale","Population","2013","1704"
"Bilans Alimentaires","Guyana","Population totale","Population","2008","776"
"Bilans Alimentaires","Guyana","Population totale","Population","2013","800"
"Bilans Alimentaires","Haïti","Population totale","Population","2008","9638"
"Bilans Alimentaires","Haïti","Population totale","Population","2013","10317"
"Bilans Alimentaires","Honduras","Population totale","Population","2008","7322"
"Bilans Alimentaires","Honduras","Population totale","Population","2013","8096"
"Bilans Alimentaires","Hongrie","Population totale","Population","2008","10046"
"Bilans Alimentaires","Hongrie","Population totale","Population","2013","9955"
"Bilans Alimentaires","Îles Salomon","Population totale","Population","2008","504"
"Bilans Alimentaires","Îles Salomon","Population totale","Population","2013","561"
"Bilans Alimentaires","Inde","Population totale","Population","2008","1174662"
"Bilans Alimentaires","Inde","Population totale","Population","2013","1252140"
"Bilans Alimentaires","Indonésie","Population totale","Population","2008","234243"
"Bilans Alimentaires","Indonésie","Population totale","Population","2013","249866"
"Bilans Alimentaires","Iran (République islamique d')","Population totale","Population","2008","72661"
"Bilans Alimentaires","Iran (République islamique d')","Population totale","Population","2013","77447"
"Bilans Alimentaires","Iraq","Population totale","Population","2008","29430"
"Bilans Alimentaires","Iraq","Population totale","Population","2013","33765"
"Bilans Alimentaires","Irlande","Population totale","Population","2008","4352"
"Bilans Alimentaires","Irlande","Population totale","Population","2013","4627"
"Bilans Alimentaires","Islande","Population totale","Population","2008","309"
"Bilans Alimentaires","Islande","Population totale","Population","2013","330"
"Bilans Alimentaires","Israël","Population totale","Population","2008","7107"
"Bilans Alimentaires","Israël","Population totale","Population","2013","7733"
"Bilans Alimentaires","Italie","Population totale","Population","2008","59874"
"Bilans Alimentaires","Italie","Population totale","Population","2013","60990"
"Bilans Alimentaires","Jamaïque","Population totale","Population","2008","2719"
"Bilans Alimentaires","Jamaïque","Population totale","Population","2013","2784"
"Bilans Alimentaires","Japon","Population totale","Population","2008","127319"
"Bilans Alimentaires","Japon","Population totale","Population","2013","127144"
"Bilans Alimentaires","Jordanie","Population totale","Population","2008","5911"
"Bilans Alimentaires","Jordanie","Population totale","Population","2013","7274"
"Bilans Alimentaires","Kazakhstan","Population totale","Population","2008","15568"
"Bilans Alimentaires","Kazakhstan","Population totale","Population","2013","16441"
"Bilans Alimentaires","Kenya","Population totale","Population","2008","38773"
"Bilans Alimentaires","Kenya","Population totale","Population","2013","44354"
"Bilans Alimentaires","Kirghizistan","Population totale","Population","2008","5197"
"Bilans Alimentaires","Kirghizistan","Population totale","Population","2013","5548"
"Bilans Alimentaires","Kiribati","Population totale","Population","2008","95"
"Bilans Alimentaires","Kiribati","Population totale","Population","2013","102"
"Bilans Alimentaires","Koweït","Population totale","Population","2008","2702"
"Bilans Alimentaires","Koweït","Population totale","Population","2013","3369"
"Bilans Alimentaires","Lesotho","Population totale","Population","2008","1972"
"Bilans Alimentaires","Lesotho","Population totale","Population","2013","2074"
"Bilans Alimentaires","Lettonie","Population totale","Population","2008","2138"
"Bilans Alimentaires","Lettonie","Population totale","Population","2013","2050"
"Bilans Alimentaires","l'ex-République yougoslave de Macédoine","Population totale","Population","2008","2099"
"Bilans Alimentaires","l'ex-République yougoslave de Macédoine","Population totale","Population","2013","2107"
"Bilans Alimentaires","Liban","Population totale","Population","2008","4186"
"Bilans Alimentaires","Liban","Population totale","Population","2013","4822"
"Bilans Alimentaires","Libéria","Population totale","Population","2008","3673"
"Bilans Alimentaires","Libéria","Population totale","Population","2013","4294"
"Bilans Alimentaires","Lituanie","Population totale","Population","2008","3143"
"Bilans Alimentaires","Lituanie","Population totale","Population","2013","3017"
"Bilans Alimentaires","Luxembourg","Population totale","Population","2008","487"
"Bilans Alimentaires","Luxembourg","Population totale","Population","2013","530"
"Bilans Alimentaires","Madagascar","Population totale","Population","2008","19927"
"Bilans Alimentaires","Madagascar","Population totale","Population","2013","22925"
"Bilans Alimentaires","Malaisie","Population totale","Population","2008","27302"
"Bilans Alimentaires","Malaisie","Population totale","Population","2013","29717"
"Bilans Alimentaires","Malawi","Population totale","Population","2008","14138"
"Bilans Alimentaires","Malawi","Population totale","Population","2013","16363"
"Bilans Alimentaires","Maldives","Population totale","Population","2008","314"
"Bilans Alimentaires","Maldives","Population totale","Population","2013","345"
"Bilans Alimentaires","Mali","Population totale","Population","2008","13138"
"Bilans Alimentaires","Mali","Population totale","Population","2013","15302"
"Bilans Alimentaires","Malte","Population totale","Population","2008","421"
"Bilans Alimentaires","Malte","Population totale","Population","2013","429"
"Bilans Alimentaires","Maroc","Population totale","Population","2008","30955"
"Bilans Alimentaires","Maroc","Population totale","Population","2013","33008"
"Bilans Alimentaires","Maurice","Population totale","Population","2008","1223"
"Bilans Alimentaires","Maurice","Population totale","Population","2013","1244"
"Bilans Alimentaires","Mauritanie","Population totale","Population","2008","3423"
"Bilans Alimentaires","Mauritanie","Population totale","Population","2013","3890"
"Bilans Alimentaires","Mexique","Population totale","Population","2008","114968"
"Bilans Alimentaires","Mexique","Population totale","Population","2013","122332"
"Bilans Alimentaires","Mongolie","Population totale","Population","2008","2633"
"Bilans Alimentaires","Mongolie","Population totale","Population","2013","2839"
"Bilans Alimentaires","Monténégro","Population totale","Population","2008","619"
"Bilans Alimentaires","Monténégro","Population totale","Population","2013","621"
"Bilans Alimentaires","Mozambique","Population totale","Population","2008","22763"
"Bilans Alimentaires","Mozambique","Population totale","Population","2013","25834"
"Bilans Alimentaires","Myanmar","Population totale","Population","2008","51174"
"Bilans Alimentaires","Myanmar","Population totale","Population","2013","53259"
"Bilans Alimentaires","Namibie","Population totale","Population","2008","2111"
"Bilans Alimentaires","Namibie","Population totale","Population","2013","2303"
"Bilans Alimentaires","Népal","Population totale","Population","2008","26249"
"Bilans Alimentaires","Népal","Population totale","Population","2013","27797"
"Bilans Alimentaires","Nicaragua","Population totale","Population","2008","5668"
"Bilans Alimentaires","Nicaragua","Population totale","Population","2013","6080"
"Bilans Alimentaires","Niger","Population totale","Population","2008","14738"
"Bilans Alimentaires","Niger","Population totale","Population","2013","17831"
"Bilans Alimentaires","Nigéria","Population totale","Population","2008","151208"
"Bilans Alimentaires","Nigéria","Population totale","Population","2013","173615"
"Bilans Alimentaires","Norvège","Population totale","Population","2008","4778"
"Bilans Alimentaires","Norvège","Population totale","Population","2013","5043"
"Bilans Alimentaires","Nouvelle-Calédonie","Population totale","Population","2008","239"
"Bilans Alimentaires","Nouvelle-Calédonie","Population totale","Population","2013","256"
"Bilans Alimentaires","Nouvelle-Zélande","Population totale","Population","2008","4278"
"Bilans Alimentaires","Nouvelle-Zélande","Population totale","Population","2013","4506"
"Bilans Alimentaires","Oman","Population totale","Population","2008","2594"
"Bilans Alimentaires","Oman","Population totale","Population","2013","3632"
"Bilans Alimentaires","Ouganda","Population totale","Population","2008","31779"
"Bilans Alimentaires","Ouganda","Population totale","Population","2013","37579"
"Bilans Alimentaires","Ouzbékistan","Population totale","Population","2008","27023"
"Bilans Alimentaires","Ouzbékistan","Population totale","Population","2013","28934"
"Bilans Alimentaires","Pakistan","Population totale","Population","2008","167008"
"Bilans Alimentaires","Pakistan","Population totale","Population","2013","182143"
"Bilans Alimentaires","Panama","Population totale","Population","2008","3553"
"Bilans Alimentaires","Panama","Population totale","Population","2013","3864"
"Bilans Alimentaires","Paraguay","Population totale","Population","2008","6236"
"Bilans Alimentaires","Paraguay","Population totale","Population","2013","6802"
"Bilans Alimentaires","Pays-Bas","Population totale","Population","2008","16504"
"Bilans Alimentaires","Pays-Bas","Population totale","Population","2013","16759"
"Bilans Alimentaires","Pérou","Population totale","Population","2008","28626"
"Bilans Alimentaires","Pérou","Population totale","Population","2013","30376"
"Bilans Alimentaires","Philippines","Population totale","Population","2008","90371"
"Bilans Alimentaires","Philippines","Population totale","Population","2013","98394"
"Bilans Alimentaires","Pologne","Population totale","Population","2008","38190"
"Bilans Alimentaires","Pologne","Population totale","Population","2013","38217"
"Bilans Alimentaires","Polynésie française","Population totale","Population","2008","263"
"Bilans Alimentaires","Polynésie française","Population totale","Population","2013","277"
"Bilans Alimentaires","Portugal","Population totale","Population","2008","10570"
"Bilans Alimentaires","Portugal","Population totale","Population","2013","10608"
"Bilans Alimentaires","République centrafricaine","Population totale","Population","2008","4185"
"Bilans Alimentaires","République centrafricaine","Population totale","Population","2013","4616"
"Bilans Alimentaires","République de Corée","Population totale","Population","2008","47868"
"Bilans Alimentaires","République de Corée","Population totale","Population","2013","49263"
"Bilans Alimentaires","République de Moldova","Population totale","Population","2008","3637"
"Bilans Alimentaires","République de Moldova","Population totale","Population","2013","3487"
"Bilans Alimentaires","République démocratique populaire lao","Population totale","Population","2008","6139"
"Bilans Alimentaires","République démocratique populaire lao","Population totale","Population","2013","6770"
"Bilans Alimentaires","République dominicaine","Population totale","Population","2008","9750"
"Bilans Alimentaires","République dominicaine","Population totale","Population","2013","10404"
"Bilans Alimentaires","République populaire démocratique de Corée","Population totale","Population","2008","24244"
"Bilans Alimentaires","République populaire démocratique de Corée","Population totale","Population","2013","24895"
"Bilans Alimentaires","République-Unie de Tanzanie","Population totale","Population","2008","42354"
"Bilans Alimentaires","République-Unie de Tanzanie","Population totale","Population","2013","49253"
