Domaine,Zone,Élément,Produit,Année,Valeur
"Cultures et produits animaux","Saint-Pierre-et-Miquelon","Importations - Quantité","Viande de Volailles","2013","38"
"Cultures et produits animaux","Saint-Vincent-et-les Grenadines","Importations - Quantité","Viande de Volailles","2013","7984"
"Cultures et produits animaux","Samoa","Importations - Quantité","Viande de Volailles","2013","13157"
"Cultures et produits animaux","Samoa américaines","Importations - Quantité","Viande de Volailles","2013","0"
"Cultures et produits animaux","Sao Tomé-et-Principe","Importations - Quantité","Viande de Volailles","2013","1346"
"Cultures et produits animaux","Sénégal","Importations - Quantité","Viande de Volailles","2013","443"
"Cultures et produits animaux","Serbie","Importations - Quantité","Viande de Volailles","2013","12341"
"Cultures et produits animaux","Seychelles","Importations - Quantité","Viande de Volailles","2013","3381"
"Cultures et produits animaux","Sierra Leone","Importations - Quantité","Viande de Volailles","2013","14108"
"Cultures et produits animaux","Singapour","Importations - Quantité","Viande de Volailles","2013","144727"
"Cultures et produits animaux","Slovaquie","Importations - Quantité","Viande de Volailles","2013","62246"
"Cultures et produits animaux","Slovénie","Importations - Quantité","Viande de Volailles","2013","17862"
"Cultures et produits animaux","Somalie","Importations - Quantité","Viande de Volailles","2013","434"
"Cultures et produits animaux","Soudan","Importations - Quantité","Viande de Volailles","2013","3911"
"Cultures et produits animaux","Sri Lanka","Importations - Quantité","Viande de Volailles","2013","543"
"Cultures et produits animaux","Suède","Importations - Quantité","Viande de Volailles","2013","86382"
"Cultures et produits animaux","Suisse","Importations - Quantité","Viande de Volailles","2013","56460"
"Cultures et produits animaux","Suriname","Importations - Quantité","Viande de Volailles","2013","21892"
"Cultures et produits animaux","Tadjikistan","Importations - Quantité","Viande de Volailles","2013","20000"
"Cultures et produits animaux","Tchad","Importations - Quantité","Viande de Volailles","2013","271"
"Cultures et produits animaux","Tchéquie (la)","Importations - Quantité","Viande de Volailles","2013","103911"
"Cultures et produits animaux","Territoire palestinien occupé","Importations - Quantité","Viande de Volailles","2013","5627"
"Cultures et produits animaux","Thaïlande","Importations - Quantité","Viande de Volailles","2013","11311"
"Cultures et produits animaux","Timor-Leste","Importations - Quantité","Viande de Volailles","2013","5614"
"Cultures et produits animaux","Togo","Importations - Quantité","Viande de Volailles","2013","13249"
"Cultures et produits animaux","Tonga","Importations - Quantité","Viande de Volailles","2013","7805"
"Cultures et produits animaux","Trinité-et-Tobago","Importations - Quantité","Viande de Volailles","2013","25351"
