Domaine,Zone,Élément,Produit,Année,Valeur
"Élevage primaire","République de Corée","Production","Viande, volaille","2013","639000"
"Élevage primaire","République de Moldova","Production","Viande, volaille","2013","42955"
"Élevage primaire","République démocratique du Congo","Production","Viande, volaille","2013","10854"
"Élevage primaire","République démocratique populaire lao","Production","Viande, volaille","2013","24000"
"Élevage primaire","République dominicaine","Production","Viande, volaille","2013","284242"
"Élevage primaire","République populaire démocratique de Corée","Production","Viande, volaille","2013","33000"
"Élevage primaire","République-Unie de Tanzanie","Production","Viande, volaille","2013","87408"
"Élevage primaire","Réunion","Production","Viande, volaille","2013","17581"
"Élevage primaire","Roumanie","Production","Viande, volaille","2013","322893"
"Élevage primaire","Royaume-Uni","Production","Viande, volaille","2013","1443000"
"Élevage primaire","Rwanda","Production","Viande, volaille","2013","15727"
"Élevage primaire","Sainte-Lucie","Production","Viande, volaille","2013","1532"
"Élevage primaire","Saint-Kitts-et-Nevis","Production","Viande, volaille","2013","85"
"Élevage primaire","Saint-Pierre-et-Miquelon","Production","Viande, volaille","2013","2"
"Élevage primaire","Saint-Vincent-et-les Grenadines","Production","Viande, volaille","2013","455"
"Élevage primaire","Samoa","Production","Viande, volaille","2013","459"
"Élevage primaire","Samoa américaines","Production","Viande, volaille","2013","25"
"Élevage primaire","Sao Tomé-et-Principe","Production","Viande, volaille","2013","385"
"Élevage primaire","Sénégal","Production","Viande, volaille","2013","65011"
"Élevage primaire","Serbie","Production","Viande, volaille","2013","83824"
"Élevage primaire","Seychelles","Production","Viande, volaille","2013","220"
"Élevage primaire","Sierra Leone","Production","Viande, volaille","2013","15120"
"Élevage primaire","Singapour","Production","Viande, volaille","2013","94072"
"Élevage primaire","Slovaquie","Production","Viande, volaille","2013","63401"
"Élevage primaire","Slovénie","Production","Viande, volaille","2013","52611"
"Élevage primaire","Somalie","Production","Viande, volaille","2013","3600"
"Élevage primaire","Soudan","Production","Viande, volaille","2013","55000"
"Élevage primaire","Soudan du Sud","Production","Viande, volaille","2013","20000"
"Élevage primaire","Sri Lanka","Production","Viande, volaille","2013","135410"
"Élevage primaire","Suède","Production","Viande, volaille","2013","117400"
"Élevage primaire","Suisse","Production","Viande, volaille","2013","78298"
"Élevage primaire","Suriname","Production","Viande, volaille","2013","7933"
"Élevage primaire","Eswatini","Production","Viande, volaille","2013","5850"
"Élevage primaire","Tadjikistan","Production","Viande, volaille","2013","1400"
"Élevage primaire","Tchad","Production","Viande, volaille","2013","6105"
"Élevage primaire","Tchéquie (la)","Production","Viande, volaille","2013","146308"
"Élevage primaire","Territoire palestinien occupé","Production","Viande, volaille","2013","72312"
"Élevage primaire","Thaïlande","Production","Viande, volaille","2013","1610621"
"Élevage primaire","Timor-Leste","Production","Viande, volaille","2013","800"
